sample_name,tls_id,tls_area_pixels,tls_area_microns,qc_id,qc_type,qc_area_pixels,qc_area_microns,intersection_area_pixels,intersection_area_microns,tls_overlap_percentage,qc_overlap_percentage,has_intersection
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 0: TLS number 0,383488.0,24488.504427519994,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 1: TLS number 1,529408.0,33806.56018431999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 2: TLS number 2,1250944.0,79881.89378176,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 3: TLS number 3,992640.0,63387.300345599986,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 4: TLS number 4,863392.0,55133.87332767999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 5: TLS number 5,713856.0,45584.90961023999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 6: TLS number 6,3159904.0,201782.90610015995,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 7: TLS number 7,1301504.0,83110.51836415999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 8: TLS number 8,1628160.0,103969.88528639998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 9: TLS number 9,844048.0,53898.61790991999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 10: TLS number 10,366464.0,23401.397922559998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 11: TLS number 11,366080.0,23376.8767232,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 12: TLS number 12,348544.0,22257.07528576,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 13: TLS number 13,1081088.0,69035.34993152,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 14: TLS number 14,1193728.0,76228.23507711999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 15: TLS number 15,1204560.0,76919.93724239999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 16: TLS number 16,2405376.0,153600.79279103997,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A5ST-01Z-00-DX1.D594ABB6-4DC6-4778-91BF-C469F54A7DED,Annotation 17: TLS number 17,1032192.0,65912.98387967999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
