sample_name,tls_id,tls_area_pixels,tls_area_microns,qc_id,qc_type,qc_area_pixels,qc_area_microns,intersection_area_pixels,intersection_area_microns,tls_overlap_percentage,qc_overlap_percentage,has_intersection
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 0: TLS number 0,319872.0,20426.159066879998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 1: TLS number 1,3583392.0,228825.70212767998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 2: TLS number 2,1045968.0,66792.68190671998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 3: TLS number 3,1675264.0,106977.81907455999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 4: TLS number 4,1421440.0,90769.3062976,QC_4,PenMarking,30518355.85255814,1948819.500000002,1421440.0,90769.3062976,100.0,4.657655893611485,True
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 5: TLS number 5,13256640.0,846533.1049055998,QC_5,PenMarking,30518355.85255814,1948819.500000002,13256640.0,846533.1049055998,100.0,43.43825094656529,True
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 6: TLS number 6,1285488.0,82087.78000751998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 7: TLS number 7,2717440.0,173528.3541376,QC_7,PenMarking,30518355.85255814,1948819.500000002,2717440.0,173528.3541376,100.0,8.904280470182066,True
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 8: TLS number 8,2979584.0,190268.15956735998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 9: TLS number 9,313856.0,20041.993610239995,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 10: TLS number 10,501888.0,32049.207563519994,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 11: TLS number 11,1100416.0,70269.58363263999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 12: TLS number 12,4880784.0,311673.63931536,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 0: TLS number 13,180480.0,11524.963699199998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-A6UG-01Z-00-DX1.2EF1F819-ED99-40A1-A87B-79C1952E8055,Annotation 1: TLS number 14,203776.0,13012.583127039998,QC_14,PenMarking,30518355.85255814,1948819.500000002,203776.0,13012.583127039998,100.0,0.6677161803358385,True
