sample_name,tls_id,tls_area_pixels,tls_area_microns,qc_id,qc_type,qc_area_pixels,qc_area_microns,intersection_area_pixels,intersection_area_microns,tls_overlap_percentage,qc_overlap_percentage,has_intersection
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 0: TLS number 0,5197440.0,331894.43333759997,QC_0,PenMarking,23199784.629131567,1481475.3749999967,5197440.0,331894.43333759997,100.0,22.402966592515973,True
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 1: TLS number 1,7708672.0,492254.90341887996,QC_1,PenMarking,23199784.629131567,1481475.3749999967,7708672.0,492254.90341887996,100.0,33.22734293972865,True
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 2: TLS number 2,8611456.0,549904.24311424,QC_2,PenMarking,31208570.705083124,1992894.7499999972,8611456.0,549904.24311424,100.0,27.59324059207044,True
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 3: TLS number 3,1304880.0,83326.10057519999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 4: TLS number 4,660480.0,42176.46289919999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 5: TLS number 5,772096.0,49303.958179839996,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 6: TLS number 6,2071552.0,132283.69681407997,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 7: TLS number 7,315136.0,20123.730941439997,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 8: TLS number 8,377728.0,24120.686437119995,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 9: TLS number 9,419584.0,26793.497167359998,QC_9,Fold,865472.8379484952,55266.75000000005,144133.98848087573,9204.00590127994,34.35164078727399,16.65378532531754,True
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 10: TLS number 10,273792.0,17483.615143679996,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 11: TLS number 11,35353312.0,2257566.6968444795,QC_11,Fold,5972.301674561922,381.3749999999862,5972.301674561922,381.3749999999862,0.01689318860581414,100.0,True
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 11: TLS number 11,35353312.0,2257566.6968444795,QC_12,Fold,326785.3208302456,20867.625000000033,325006.0051533669,20754.00272282004,0.9193085082194473,99.45550930122621,True
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 11: TLS number 11,35353312.0,2257566.6968444795,QC_13,Fold,194866.16171779283,12443.624999999993,194866.16171779283,12443.624999999993,0.5511963397313181,100.0,True
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 11: TLS number 11,35353312.0,2257566.6968444795,QC_14,Fold,69535.91359733536,4440.374999999986,69535.91359733536,4440.374999999986,0.19668854108304012,100.0,True
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 11: TLS number 11,35353312.0,2257566.6968444795,QC_15,Fold,865472.8379484952,55266.75000000005,151540.95321035277,9676.994596029926,0.42864711857930815,17.509614001239292,True
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 0: TLS number 12,199040.0,12710.155001599998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUS-01Z-00-DX1.8DEC63C3-03F2-4DC2-8C0B-B771F976AD75,Annotation 1: TLS number 13,118272.0,7552.529402879998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
