sample_name,tls_id,tls_area_pixels,tls_area_microns,qc_id,qc_type,qc_area_pixels,qc_area_microns,intersection_area_pixels,intersection_area_microns,tls_overlap_percentage,qc_overlap_percentage,has_intersection
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 0: TLS number 0,17093120.0,1091520.3208447997,QC_0,Darkspot & Foreign Object,9241211.927408783,590118.7500000015,8864832.589366069,566084.1854606,51.86199236515082,95.92716473770719,True
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 0: TLS number 0,17093120.0,1091520.3208447997,QC_1,PenMarking,166459340.42926,10629642.374999978,17093120.0,1091520.3208447997,100.0,10.268645758129772,True
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 1: TLS number 1,8638464.0,551628.9008025599,QC_2,PenMarking,166459340.42926,10629642.374999978,8638464.0,551628.9008025599,100.0,5.1895339592980525,True
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 2: TLS number 2,1004032.0,64114.76259327999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 3: TLS number 3,5300576.0,338480.4187990399,QC_4,PenMarking,77697883.04514651,4961576.250000003,5300576.0,338480.4187990399,100.0,6.822034001775942,True
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 4: TLS number 4,582528.0,37198.659429119994,QC_5,PenMarking,77697883.04514651,4961576.250000003,156807.87653344264,10013.326046080241,26.918513193089883,0.2018174374742348,True
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 5: TLS number 5,13397200.0,855508.885588,QC_6,PenMarking,77697883.04514651,4961576.250000003,13397200.0,855508.885588,100.0,17.242683423196397,True
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 6: TLS number 6,2336768.0,149219.67183871998,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 7: TLS number 7,421504.0,26916.103164159995,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 8: TLS number 8,1397632.0,89248.99193727999,QC_9,Fold,81092.93394693043,5178.37499999998,76940.71595975992,4913.225611850017,5.505076870002971,94.87967966495351,True
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 9: TLS number 9,611360.0,39039.792814399996,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 10: TLS number 10,940544.0,60060.59096575999,QC_11,Fold,76917.6079974567,4911.749999999911,55182.53225152272,3523.8069649198387,5.867086734009544,71.74239252649062,True
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 10: TLS number 10,940544.0,60060.59096575999,QC_12,Fold,389221.4185725713,24854.625000000065,300674.7013665937,19200.27160082997,31.968169630192072,77.25029687967498,True
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 11: TLS number 11,5107200.0,326131.95148799993,QC_13,PenMarking,49234227.99495567,3143964.375000002,5107200.0,326131.95148799993,100.0,10.373271213927152,True
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 12: TLS number 12,781824.0,49925.16189695999,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 13: TLS number 13,462848.0,29556.218961919996,None,None,0.0,0.0,0.0,0.0,0.0,0.0,False
mod_TCGA-IB-AAUT-01Z-00-DX1.69FBD770-916E-47BC-9E02-A9F4AD9E3E40,Annotation 14: TLS number 14,17140480.0,1094544.6020992,QC_16,PenMarking,107853813.55832699,6887252.250000017,17140480.0,1094544.6020992,100.0,15.892326320691929,True
